Antigüedad,Calificacion,Empresa,Pais,CodigoCliente,PuntajeOriginal,Puesto,Tema,Dispositivo
12,alta,Mediana,Chile,10008431,6,Publicidad,servicios,Movil
14,alta,Mediana,Chile,10008438,7,Publicidad,servicios,Tableta
25,baja,Mediana,Chile,10008440,1,Publicidad,servicios,PC
11,alta,Mediana,Chile,10008441,7,Publicidad,confiabilidad,Tableta
17,baja,Mediana,Chile,10008453,1,Publicidad,confiabilidad,PC
25,baja,Mediana,Chile,10008457,3,Publicidad,precio,Tableta
22,baja,Mediana,Chile,10008460,2,Publicidad,precio,Movil
45,alta,Mediana,Chile,10008463,7,Publicidad,uso,Tableta
17,baja,Mediana,Chile,10008464,2,Publicidad,servicios,PC
27,baja,Mediana,Chile,10008467,4,Publicidad,confiabilidad,Tableta
4,baja,Mediana,Chile,10008470,1,Publicidad,confiabilidad,Movil
28,baja,Mediana,Chile,10008475,2,Publicidad,velocidad,Tableta
,baja,Mediana,Chile,10008476,4,Publicidad,confiabilidad,PC
39,baja,Mediana,Chile,10008481,2,Publicidad,caracteristicas,Tableta
30,alta,Mediana,Chile,10008483,8,Publicidad,servicios,Movil
30,alta,Mediana,Chile,10008484,8,Publicidad,precio,Tableta
34,alta,Mediana,Chile,10008485,6,Publicidad,precio,PC
24,baja,Mediana,Chile,10008488,5,Publicidad,servicios,Tableta
31,baja,Mediana,Chile,10008494,2,Publicidad,precio,Movil
47,alta,Mediana,Chile,10008495,6,Publicidad,uso,Tableta
28,alta,Mediana,Chile,10008496,9,Publicidad,precio,PC
40,baja,Mediana,Chile,10008498,3,Publicidad,servicios,Tableta
2,alta,Mediana,Chile,10008500,10,Publicidad,precio,PC
48,baja,Mediana,Chile,10008501,2,Publicidad,precio,Tableta
23,baja,Mediana,Chile,10008504,2,Publicidad,confiabilidad,Movil
28,alta,Mediana,Chile,10008505,8,Publicidad,precio,Tableta
9,alta,Mediana,Chile,10008511,8,Publicidad,servicios,PC
40,alta,Mediana,Chile,10008512,7,Publicidad,precio,Tableta
,baja,Mediana,Chile,10008515,4,Publicidad,soporte,Movil
,alta,Mediana,Chile,10008516,6,Publicidad,confiabilidad,Tableta
38,baja,Mediana,Chile,10008517,3,Publicidad,uso,PC
11,alta,Mediana,Chile,10008519,8,Publicidad,navegacion,Tableta
39,alta,Mediana,Chile,10008525,6,Publicidad,caracteristicas,Movil
16,alta,Mediana,Chile,10008534,7,Publicidad,servicios,Tableta
31,alta,Mediana,Chile,10008553,6,Publicidad,servicios,PC
14,alta,Mediana,Chile,10008563,6,Publicidad,precio,Tableta
10,baja,Mediana,Chile,10008568,2,Publicidad,precio,Movil
,baja,Mediana,Chile,10008569,2,Publicidad,servicios,Tableta
33,baja,Mediana,Chile,10008571,5,Publicidad,caracteristicas,PC
,alta,Mediana,Chile,10008572,8,Publicidad,uso,Tableta
12,baja,Mediana,Chile,10008575,3,Publicidad,precio,PC
7,baja,Mediana,Chile,10008582,4,Publicidad,confiabilidad,Tableta
17,baja,Mediana,Chile,10008588,4,Publicidad,servicios,Movil
0,baja,Mediana,Chile,10008592,4,Publicidad,navegacion,Tableta
23,baja,Mediana,Chile,10008597,3,Publicidad,precio,PC
23,baja,Mediana,Chile,10008603,4,Publicidad,caracteristicas,Tableta
21,alta,Mediana,Chile,10008612,10,Publicidad,servicios,Movil
14,baja,Mediana,Chile,10008616,2,Publicidad,confiabilidad,Tableta
41,baja,Mediana,Chile,10008624,3,Publicidad,servicios,PC
25,alta,Mediana,Chile,10008626,8,Publicidad,uso,Tableta
17,baja,Mediana,Chile,10008629,1,Publicidad,precio,Movil
21,alta,Mediana,Chile,10008645,7,Publicidad,servicios,Tableta
28,baja,Mediana,Chile,10008647,4,Publicidad,servicios,PC
28,alta,Mediana,Chile,10008649,8,Publicidad,navegacion,Tableta
16,alta,Mediana,Chile,10008651,8,Publicidad,precio,Movil
19,alta,Mediana,Chile,10008655,6,Publicidad,precio,Tableta
,alta,Mediana,Chile,10008656,9,Publicidad,servicios,PC
12,alta,Mediana,Chile,10008658,8,Publicidad,confiabilidad,Tableta
15,alta,Mediana,Chile,10008669,7,Publicidad,confiabilidad,PC
24,alta,Mediana,Chile,10008694,10,Publicidad,confiabilidad,Tableta
8,baja,Mediana,Chile,10008711,1,Publicidad,servicios,Movil
34,alta,Mediana,Chile,10008719,8,Publicidad,precio,Tableta
14,alta,Mediana,Chile,10008730,7,Publicidad,soporte,PC
12,alta,Mediana,Chile,10008739,8,Publicidad,seguridad,Tableta
3,alta,Mediana,Chile,10008745,9,Publicidad,precio,Movil
26,alta,Mediana,Chile,10008751,9,Publicidad,confiabilidad,Tableta
14,alta,Mediana,Chile,10008759,7,Publicidad,caracteristicas,PC
25,alta,Mediana,Chile,10008760,9,Publicidad,servicios,Tableta
7,baja,Mediana,Chile,10008781,3,Publicidad,confiabilidad,Movil
24,baja,Mediana,Chile,10008806,2,Publicidad,caracteristicas,Tableta
24,alta,Mediana,Chile,10008810,7,Publicidad,confiabilidad,PC
2,alta,Mediana,Chile,10008818,7,Publicidad,confiabilidad,Tableta
12,baja,Mediana,Chile,10008821,4,Publicidad,precio,Movil
24,alta,Mediana,Chile,10008835,6,Publicidad,caracteristicas,Tableta
27,baja,Mediana,Chile,10008849,4,Publicidad,servicios,PC
8,alta,Mediana,Chile,10008858,8,Publicidad,precio,Tableta
5,alta,Mediana,Chile,10008864,9,Publicidad,servicios,PC
24,alta,Mediana,Chile,10008865,9,Publicidad,autonomia,Tableta
8,baja,Mediana,Chile,10008871,1,Publicidad,servicios,Movil
9,alta,Mediana,Chile,10008878,9,Publicidad,servicios,Tableta
27,alta,Mediana,Chile,10008879,6,Publicidad,confiabilidad,PC
0,baja,Mediana,Chile,10008881,3,Publicidad,velocidad,Tableta
27,baja,Mediana,Chile,10008910,5,Publicidad,soporte,Movil
18,alta,Mediana,Chile,10008923,7,Publicidad,precio,Tableta
26,alta,Mediana,Chile,10008925,8,Publicidad,confiabilidad,PC
7,baja,Mediana,Chile,10008932,5,Publicidad,caracteristicas,Tableta
29,alta,Mediana,Chile,10008940,7,Publicidad,confiabilidad,Movil
8,baja,Mediana,Chile,10008955,2,Publicidad,caracteristicas,Tableta
22,alta,Mediana,Chile,10008962,8,Publicidad,confiabilidad,PC
,alta,Mediana,Chile,10008964,8,Publicidad,servicios,Tableta
21,baja,Mediana,Chile,10008974,5,Publicidad,precio,Movil
0,alta,Mediana,Chile,10008997,6,Publicidad,servicios,Tableta
28,alta,Mediana,Chile,10009005,6,Publicidad,precio,PC
29,baja,Mediana,Chile,10009007,2,Publicidad,velocidad,Tableta
12,baja,Mediana,Chile,10009009,2,Publicidad,servicios,PC
,baja,Mediana,Chile,10009013,4,Publicidad,velocidad,Tableta
26,alta,Mediana,Chile,10009016,7,Publicidad,autonomia,Movil
3,baja,Mediana,Chile,10009024,1,Publicidad,servicios,Tableta
24,baja,Mediana,Chile,10009030,5,Publicidad,servicios,PC
0,baja,Mediana,Chile,10009040,5,Publicidad,velocidad,Tableta
18,alta,Mediana,Chile,10009041,7,Publicidad,precio,Movil
20,baja,Mediana,Chile,10009042,3,Publicidad,velocidad,Tableta
8,alta,Mediana,Chile,10009051,10,Publicidad,precio,PC
,baja,Mediana,Chile,10009056,3,Publicidad,precio,Tableta
23,alta,Mediana,Chile,10009061,9,Publicidad,confiabilidad,Movil
11,alta,Mediana,Chile,10009066,7,Publicidad,caracteristicas,Tableta
25,baja,Mediana,Chile,10009070,3,Publicidad,confiabilidad,PC
25,baja,Mediana,Chile,10009076,3,Publicidad,servicios,Tableta
17,alta,Mediana,Chile,10009081,7,Publicidad,servicios,Movil
6,baja,Mediana,Chile,10009098,3,Publicidad,caracteristicas,Tableta
8,alta,Mediana,Chile,10009124,7,Publicidad,confiabilidad,PC
20,baja,Mediana,Chile,10009129,3,Publicidad,servicios,Tableta
25,alta,Mediana,Chile,10009133,6,Publicidad,soporte,PC
14,alta,Mediana,Chile,10009163,6,Publicidad,precio,Tableta
34,alta,Mediana,Chile,10009164,10,Publicidad,confiabilidad,Movil
28,alta,Mediana,Chile,10009174,6,Publicidad,servicios,Tableta
11,baja,Mediana,Chile,10009175,3,Publicidad,servicios,PC
17,alta,Mediana,Chile,10009177,10,Publicidad,otros,Tableta
12,baja,Mediana,Chile,10009187,1,Publicidad,caracteristicas,Movil
12,baja,Mediana,Chile,10009188,3,Publicidad,otros,Tableta
3,baja,Mediana,Chile,10009193,5,Publicidad,precio,PC
2,baja,Mediana,Chile,10009232,1,Publicidad,precio,Tableta
6,alta,Mediana,Chile,10009237,6,Publicidad,caracteristicas,Movil
7,alta,Mediana,Chile,10009242,8,Publicidad,precio,Tableta
27,baja,Mediana,Chile,10009245,4,Publicidad,uso,PC
39,baja,Mediana,Chile,10009255,5,Publicidad,caracteristicas,Tableta
13,baja,Mediana,Chile,10009279,5,Publicidad,precio,Movil
29,alta,Mediana,Chile,10009286,7,Publicidad,servicios,Tableta
31,baja,Mediana,Chile,10009287,5,Publicidad,caracteristicas,PC
22,alta,Mediana,Chile,10009307,10,Publicidad,confiabilidad,Tableta
0,baja,Mediana,Chile,10009315,4,Publicidad,confiabilidad,PC
9,baja,Mediana,Chile,10009330,5,Publicidad,autonomia,Tableta
4,alta,Mediana,Chile,10009333,7,Publicidad,caracteristicas,Movil
3,alta,Mediana,Chile,10009335,9,Publicidad,autonomia,Tableta
29,alta,Mediana,Chile,10009343,9,Publicidad,precio,PC
7,baja,Mediana,Chile,10009358,1,Publicidad,otros,Tableta
1,baja,Mediana,Chile,10009361,5,Publicidad,servicios,Movil
10,alta,Mediana,Chile,10009363,8,Publicidad,precio,Tableta
6,baja,Mediana,Chile,10009370,3,Publicidad,caracteristicas,PC
9,baja,Mediana,Chile,10009465,4,Publicidad,velocidad,Tableta
15,baja,Mediana,Chile,10009484,4,Publicidad,caracteristicas,Movil
26,alta,Mediana,Chile,10009492,7,Publicidad,caracteristicas,Tableta
3,baja,Mediana,Chile,10009528,5,Publicidad,confiabilidad,PC
26,alta,Mediana,Chile,10009549,10,Publicidad,precio,Tableta
4,alta,Mediana,Chile,10009551,8,Publicidad,confiabilidad,Movil
21,alta,Mediana,Chile,10009574,8,Publicidad,velocidad,Tableta
7,baja,Mediana,Chile,10009583,5,Publicidad,servicios,PC
25,alta,Mediana,Chile,10009584,10,Publicidad,confiabilidad,Tableta
9,alta,Mediana,Chile,10009608,7,Publicidad,caracteristicas,PC
4,alta,Mediana,Chile,10009629,9,Publicidad,navegacion,Tableta
19,alta,Mediana,Chile,10009630,9,Publicidad,precio,Movil
16,alta,Mediana,Chile,10009634,6,Publicidad,servicios,Tableta
23,alta,Mediana,Chile,10009635,6,Publicidad,caracteristicas,PC
22,baja,Mediana,Chile,10009637,2,Publicidad,diseño,Tableta
32,baja,Mediana,Chile,10009656,5,Publicidad,confiabilidad,Movil
22,alta,Mediana,Chile,10009681,8,Publicidad,servicios,Tableta
0,baja,Mediana,Chile,10009688,3,Publicidad,precio,PC
10,baja,Mediana,Chile,10009691,4,Publicidad,precio,Tableta
7,alta,Mediana,Chile,10009692,7,Publicidad,confiabilidad,Movil
2,alta,Mediana,Chile,10009695,6,Publicidad,soporte,Tableta
3,alta,Mediana,Chile,10009700,6,Publicidad,precio,PC
21,baja,Mediana,Chile,10009702,5,Publicidad,confiabilidad,Tableta
22,baja,Mediana,Chile,10009703,1,Publicidad,velocidad,Movil
21,baja,Mediana,Chile,10009716,3,Publicidad,seguridad,Tableta
1,alta,Mediana,Chile,10009732,9,Publicidad,precio,PC
1,baja,Mediana,Chile,10009748,4,Publicidad,confiabilidad,Tableta
17,baja,Mediana,Chile,10009749,4,Publicidad,precio,PC
13,baja,Mediana,Chile,10009757,1,Publicidad,soporte,Tableta
2,alta,Mediana,Chile,10009778,8,Publicidad,seguridad,Movil
16,alta,Mediana,Chile,10009781,8,Publicidad,precio,Tableta
12,baja,Mediana,Chile,10009784,1,Publicidad,confiabilidad,PC
49,alta,Mediana,Chile,10009814,10,Publicidad,uso,Tableta
14,alta,Mediana,Chile,10009840,6,Publicidad,confiabilidad,Movil
8,alta,Mediana,Chile,10009854,9,Publicidad,servicios,Tableta
25,baja,Mediana,Chile,10009886,5,Publicidad,caracteristicas,PC
10,alta,Mediana,Chile,10009889,10,Publicidad,confiabilidad,Tableta
18,alta,Mediana,Chile,10009891,9,Publicidad,servicios,Movil
27,alta,Mediana,Chile,10009900,6,Publicidad,seguridad,Tableta
27,alta,Mediana,Chile,10009914,6,Publicidad,caracteristicas,PC
3,alta,Mediana,Chile,10009917,7,Publicidad,servicios,Tableta
1,baja,Mediana,Chile,10009940,1,Publicidad,seguridad,Movil
14,baja,Mediana,Chile,10009951,3,Publicidad,velocidad,Tableta
10,baja,Mediana,Chile,10009982,5,Publicidad,uso,PC
51,alta,Mediana,Chile,10009988,9,Publicidad,seguridad,Tableta
20,alta,Mediana,Chile,10009994,10,Publicidad,autonomia,PC
2,alta,Mediana,Chile,10009998,7,Publicidad,precio,Tableta
10,alta,Mediana,Chile,10010033,7,Publicidad,confiabilidad,Movil
21,baja,Mediana,Chile,10010036,3,Publicidad,confiabilidad,Tableta
20,baja,Mediana,Chile,10010058,2,Publicidad,caracteristicas,PC
4,baja,Mediana,Chile,10010089,4,Publicidad,precio,Tableta
10,alta,Mediana,Chile,10010096,7,Publicidad,caracteristicas,Movil
17,alta,Mediana,Chile,10010110,7,Publicidad,caracteristicas,Tableta
14,baja,Mediana,Chile,10010133,4,Publicidad,precio,PC
24,baja,Mediana,Chile,10010142,1,Publicidad,caracteristicas,Tableta
17,baja,Mediana,Chile,10010211,1,Publicidad,navegacion,Movil
15,alta,Mediana,Chile,10010214,9,Publicidad,caracteristicas,Tableta
16,alta,Mediana,Chile,10010215,7,Publicidad,velocidad,PC
18,alta,Mediana,Chile,10010220,7,Publicidad,precio,Tableta
13,baja,Mediana,Chile,10010234,3,Publicidad,caracteristicas,Movil
23,alta,Mediana,Chile,10010242,10,Publicidad,caracteristicas,Tableta
4,baja,Mediana,Chile,10010263,4,Publicidad,servicios,PC
11,baja,Mediana,Chile,10010264,5,Publicidad,confiabilidad,Tableta
16,alta,Mediana,Chile,10010272,7,Publicidad,servicios,PC
12,alta,Mediana,Chile,10010295,9,Publicidad,confiabilidad,Tableta
1,baja,Mediana,Chile,10010309,3,Publicidad,precio,Movil
14,alta,Mediana,Chile,10010311,6,Publicidad,servicios,Tableta
21,alta,Mediana,Chile,10010312,6,Publicidad,precio,PC
3,alta,Mediana,Chile,10010326,8,Publicidad,confiabilidad,Tableta
23,alta,Mediana,Chile,10010369,6,Publicidad,servicios,Movil
9,alta,Mediana,Chile,10010400,6,Publicidad,servicios,Tableta
3,baja,Mediana,Chile,10010406,5,Publicidad,confiabilidad,PC
27,alta,Mediana,Chile,10010414,10,Publicidad,caracteristicas,Tableta
12,baja,Mediana,Chile,10010430,3,Publicidad,confiabilidad,Movil
6,alta,Mediana,Chile,10010432,10,Publicidad,servicios,Tableta
2,alta,Mediana,Chile,10010434,6,Publicidad,soporte,PC
27,baja,Mediana,Chile,10010475,1,Publicidad,caracteristicas,Tableta
23,baja,Mediana,Chile,10010480,4,Publicidad,precio,Movil
12,alta,Mediana,Chile,10010499,10,Publicidad,precio,Tableta
13,baja,Mediana,Chile,10010500,2,Publicidad,autonomia,PC
21,alta,Mediana,Chile,10010539,9,Publicidad,velocidad,Tableta
24,baja,Mediana,Chile,10010544,2,Publicidad,seguridad,PC
1,baja,Mediana,Chile,10010549,5,Publicidad,confiabilidad,Tableta
18,alta,Mediana,Chile,10010551,9,Publicidad,servicios,Movil
18,baja,Mediana,Chile,10010554,2,Publicidad,diseño,Tableta
25,alta,Mediana,Chile,10010577,9,Publicidad,servicios,PC
26,baja,Mediana,Chile,10010594,1,Publicidad,caracteristicas,Tableta
2,alta,Mediana,Chile,10010598,7,Publicidad,servicios,Movil
16,alta,Mediana,Chile,10010617,8,Publicidad,caracteristicas,Tableta
37,alta,Mediana,Chile,10010653,7,Publicidad,caracteristicas,PC
8,alta,Mediana,Chile,10010654,8,Publicidad,servicios,Tableta
1,alta,Mediana,Chile,10010668,10,Publicidad,precio,Movil
11,baja,Mediana,Chile,10010671,5,Publicidad,confiabilidad,Tableta
41,alta,Mediana,Chile,10010677,8,Publicidad,caracteristicas,PC
28,baja,Mediana,Chile,10010683,2,Publicidad,precio,Tableta
20,alta,Mediana,Chile,10010686,10,Publicidad,servicios,Movil
27,baja,Mediana,Chile,10010696,3,Publicidad,confiabilidad,Tableta
7,baja,Mediana,Chile,10010699,4,Publicidad,confiabilidad,PC
26,alta,Mediana,Chile,10010711,7,Publicidad,servicios,Tableta
0,baja,Mediana,Chile,10010712,4,Publicidad,precio,PC
6,baja,Mediana,Chile,10010735,4,Publicidad,caracteristicas,Tableta
17,baja,Mediana,Chile,10010742,3,Publicidad,precio,Movil
7,baja,Mediana,Chile,10010744,3,Publicidad,precio,Tableta
22,baja,Mediana,Chile,10010749,5,Publicidad,confiabilidad,PC
3,alta,Mediana,Chile,10010751,8,Publicidad,caracteristicas,Tableta
2,alta,Mediana,Chile,10010776,8,Publicidad,autonomia,Movil
3,alta,Mediana,Chile,10010800,6,Publicidad,servicios,Tableta
9,baja,Mediana,Chile,10010837,4,Publicidad,diseño,PC
28,alta,Mediana,Chile,10010851,6,Publicidad,servicios,Tableta
52,baja,Mediana,Chile,10010865,1,Publicidad,confiabilidad,Movil
9,alta,Mediana,Chile,10010873,7,Publicidad,precio,Tableta
8,alta,Mediana,Chile,10010875,6,Publicidad,precio,PC
26,baja,Mediana,Chile,10010889,5,Publicidad,confiabilidad,Tableta
9,alta,Mediana,Chile,10010892,7,Publicidad,precio,Movil
8,baja,Mediana,Chile,10010894,3,Publicidad,precio,Tableta
14,baja,Mediana,Chile,10010907,4,Publicidad,servicios,PC
24,baja,Mediana,Chile,10010912,5,Publicidad,precio,Tableta
24,alta,Mediana,Chile,10010932,8,Publicidad,confiabilidad,PC
13,alta,Mediana,Chile,10010949,9,Publicidad,confiabilidad,Tableta
2,baja,Mediana,Chile,10010968,1,Publicidad,seguridad,Movil
0,alta,Mediana,Chile,10011026,7,Publicidad,confiabilidad,Tableta
26,baja,Mediana,Chile,10011032,1,Publicidad,confiabilidad,PC
30,alta,Mediana,Chile,10011094,9,Publicidad,caracteristicas,Tableta
47,baja,Mediana,Chile,10011101,4,Publicidad,confiabilidad,Movil
3,baja,Mediana,Chile,10011110,5,Publicidad,precio,Tableta
12,alta,Mediana,Chile,10011112,9,Publicidad,caracteristicas,PC
6,alta,Mediana,Chile,10011113,10,Publicidad,caracteristicas,Tableta
15,baja,Mediana,Chile,10011118,1,Publicidad,confiabilidad,Movil
16,baja,Mediana,Chile,10011138,4,Publicidad,precio,Tableta
10,baja,Mediana,Chile,10011155,5,Publicidad,precio,PC
1,alta,Mediana,Chile,10011161,8,Publicidad,caracteristicas,Tableta
43,alta,Mediana,Chile,10011163,8,Publicidad,uso,Movil
2,baja,Mediana,Chile,10011174,1,Publicidad,servicios,Tableta
1,baja,Mediana,Chile,10011176,1,Publicidad,confiabilidad,PC
,alta,Mediana,Chile,10011185,9,Publicidad,caracteristicas,Tableta
15,baja,Mediana,Chile,10011189,4,Publicidad,confiabilidad,PC
20,baja,Mediana,Chile,10011190,4,Publicidad,confiabilidad,Tableta
2,alta,Mediana,Chile,10011199,9,Publicidad,confiabilidad,Movil
11,alta,Mediana,Chile,10011208,7,Publicidad,caracteristicas,Tableta
26,baja,Mediana,Chile,10011209,2,Publicidad,otros,PC
14,alta,Mediana,Chile,10011235,7,Publicidad,precio,Tableta
15,alta,Mediana,Chile,10011242,8,Publicidad,confiabilidad,Movil
14,baja,Mediana,Chile,10011262,3,Publicidad,soporte,Tableta
22,baja,Mediana,Chile,10011274,4,Publicidad,precio,PC
15,baja,Mediana,Chile,10011275,5,Publicidad,caracteristicas,Tableta
26,baja,Mediana,Chile,10011289,1,Publicidad,soporte,Movil
1,alta,Mediana,Chile,10011300,8,Publicidad,seguridad,Tableta
5,baja,Mediana,Chile,10011328,1,Publicidad,servicios,PC
11,alta,Mediana,Chile,10011332,7,Publicidad,soporte,Tableta
16,baja,Mediana,Chile,10011392,4,Publicidad,precio,Movil
46,alta,Mediana,Chile,10011396,9,Publicidad,uso,Tableta
18,alta,Mediana,Chile,10011399,7,Publicidad,confiabilidad,PC
7,baja,Mediana,Chile,10011436,5,Publicidad,confiabilidad,Tableta
14,alta,Mediana,Chile,10011458,8,Publicidad,precio,PC
15,alta,Mediana,Chile,10011477,7,Publicidad,confiabilidad,Tableta
4,baja,Mediana,Chile,10011484,3,Publicidad,precio,Movil
16,alta,Mediana,Chile,10011487,9,Publicidad,precio,Tableta
24,alta,Mediana,Chile,10011489,10,Publicidad,caracteristicas,PC
5,baja,Mediana,Chile,10011493,1,Publicidad,servicios,Tableta
9,baja,Mediana,Chile,10011500,3,Publicidad,caracteristicas,Movil
22,alta,Mediana,Chile,10011533,10,Publicidad,caracteristicas,Tableta
15,alta,Mediana,Chile,10011538,8,Publicidad,confiabilidad,PC
12,baja,Mediana,Chile,10011555,3,Publicidad,servicios,Tableta
9,alta,Mediana,Chile,10011562,9,Publicidad,confiabilidad,Movil
7,baja,Mediana,Chile,10011567,5,Publicidad,confiabilidad,Tableta
13,alta,Mediana,Chile,10011576,10,Publicidad,confiabilidad,PC
17,alta,Mediana,Chile,10011577,9,Publicidad,autonomia,Tableta
8,baja,Mediana,Chile,10011578,4,Publicidad,confiabilidad,Movil
29,alta,Mediana,Chile,10011592,8,Publicidad,confiabilidad,Tableta
13,baja,Mediana,Chile,10011596,5,Publicidad,caracteristicas,PC
11,baja,Mediana,Chile,10011609,1,Publicidad,caracteristicas,Tableta
0,alta,Mediana,Chile,10011612,9,Publicidad,caracteristicas,PC
28,baja,Mediana,Chile,10011618,2,Publicidad,seguridad,Tableta
7,baja,Mediana,Chile,10011648,3,Publicidad,velocidad,Movil
19,alta,Mediana,Chile,10011649,9,Publicidad,confiabilidad,Tableta
,alta,Mediana,Chile,10011653,6,Publicidad,uso,PC
25,baja,Mediana,Chile,10011654,2,Publicidad,caracteristicas,Tableta
2,alta,Mediana,Chile,10011661,10,Publicidad,velocidad,Movil
8,alta,Mediana,Chile,10011669,8,Publicidad,servicios,Tableta
1,alta,Mediana,Chile,10011676,9,Publicidad,servicios,PC
4,alta,Mediana,Chile,10011740,7,Publicidad,precio,Tableta
,alta,Mediana,Chile,10011742,8,Publicidad,caracteristicas,Movil
6,alta,Mediana,Chile,10011745,10,Publicidad,confiabilidad,Tableta
45,alta,Mediana,Chile,10011747,10,Publicidad,precio,PC
21,alta,Mediana,Chile,10011759,8,Publicidad,uso,Tableta
24,alta,Mediana,Chile,10011766,10,Publicidad,precio,Movil
23,alta,Mediana,Chile,10011777,8,Publicidad,caracteristicas,Tableta
32,baja,Mediana,Chile,10011780,2,Publicidad,servicios,PC
17,alta,Mediana,Chile,10011794,8,Publicidad,servicios,Tableta
42,alta,Mediana,Chile,10011800,7,Publicidad,caracteristicas,PC
36,baja,Mediana,Chile,10011801,4,Publicidad,precio,Tableta
10,alta,Mediana,Chile,10011802,8,Publicidad,precio,Movil
9,baja,Mediana,Chile,10011820,3,Publicidad,precio,Tableta
6,alta,Mediana,Chile,10011821,7,Publicidad,confiabilidad,PC
20,baja,Mediana,Chile,10011841,2,Publicidad,confiabilidad,Tableta
14,baja,Mediana,Chile,10011848,1,Publicidad,caracteristicas,Movil
19,alta,Mediana,Chile,10011879,10,Publicidad,servicios,Tableta
14,baja,Mediana,Chile,10011880,5,Publicidad,servicios,PC
35,baja,Mediana,Chile,10011886,1,Publicidad,confiabilidad,Tableta
,baja,Mediana,Chile,10011889,2,Publicidad,caracteristicas,Movil
27,alta,Mediana,Chile,10011891,6,Publicidad,precio,Tableta
21,baja,Mediana,Chile,10011905,4,Publicidad,servicios,PC
47,baja,Mediana,Chile,10011913,3,Publicidad,precio,Tableta
14,baja,Mediana,Chile,10011935,1,Publicidad,confiabilidad,Movil
6,alta,Mediana,Chile,10011940,9,Publicidad,precio,Tableta
39,baja,Mediana,Chile,10011942,4,Publicidad,servicios,PC
15,alta,Mediana,Chile,10011944,8,Publicidad,confiabilidad,Tableta
39,baja,Mediana,Chile,10011947,5,Publicidad,velocidad,PC
,alta,Mediana,Chile,10011958,9,Publicidad,servicios,Tableta
9,baja,Mediana,Chile,10011964,5,Publicidad,soporte,Movil
21,alta,Mediana,Chile,10011973,10,Publicidad,confiabilidad,Tableta
0,alta,Mediana,Chile,10011983,7,Publicidad,servicios,PC
13,alta,Mediana,Chile,10011993,7,Publicidad,servicios,Tableta
23,baja,Mediana,Chile,10012001,4,Publicidad,confiabilidad,Movil
11,alta,Mediana,Chile,10012008,10,Publicidad,servicios,Tableta
9,baja,Mediana,Chile,10012015,3,Publicidad,confiabilidad,PC
0,alta,Mediana,Chile,10012020,8,Publicidad,confiabilidad,Tableta
15,alta,Mediana,Chile,10012024,10,Publicidad,servicios,Movil
11,alta,Mediana,Chile,10012033,10,Publicidad,caracteristicas,Tableta
35,baja,Mediana,Chile,10012035,2,Publicidad,uso,PC
1,alta,Mediana,Chile,10012043,8,Publicidad,servicios,Tableta
12,alta,Mediana,Chile,10012044,7,Publicidad,caracteristicas,Movil
11,baja,Mediana,Chile,10012047,2,Publicidad,seguridad,Tableta
0,alta,Mediana,Chile,10012052,6,Publicidad,caracteristicas,PC
4,baja,Mediana,Chile,10012055,3,Publicidad,precio,Tableta
8,alta,Mediana,Chile,10012059,9,Publicidad,confiabilidad,PC
14,alta,Mediana,Chile,10012060,10,Publicidad,caracteristicas,Tableta
11,alta,Mediana,Chile,10012073,6,Publicidad,servicios,Movil
23,alta,Mediana,Chile,10012094,10,Publicidad,servicios,Tableta
22,alta,Mediana,Chile,10012095,9,Publicidad,servicios,PC
24,alta,Mediana,Chile,10012103,7,Publicidad,servicios,Tableta
14,baja,Mediana,Chile,10012118,4,Publicidad,confiabilidad,Movil
1,baja,Mediana,Chile,10012124,2,Publicidad,caracteristicas,Tableta
12,alta,Mediana,Chile,10012131,10,Publicidad,confiabilidad,PC
1,baja,Mediana,Chile,10012134,5,Publicidad,caracteristicas,Tableta
6,baja,Mediana,Chile,10012135,5,Publicidad,caracteristicas,Movil
13,baja,Mediana,Chile,10012143,3,Publicidad,servicios,Tableta
4,alta,Mediana,Chile,10012147,10,Publicidad,precio,PC
33,baja,Mediana,Chile,10012155,3,Publicidad,confiabilidad,Tableta
0,alta,Mediana,Chile,10012157,9,Publicidad,servicios,Movil
6,alta,Mediana,Chile,10012159,10,Publicidad,confiabilidad,Tableta
19,alta,Mediana,Chile,10012164,6,Publicidad,caracteristicas,PC
34,alta,Mediana,Chile,10012168,10,Publicidad,navegacion,Tableta
,baja,Mediana,Chile,10012171,4,Publicidad,precio,PC
17,alta,Mediana,Chile,10012174,10,Publicidad,confiabilidad,Tableta
14,alta,Mediana,Chile,10012175,8,Publicidad,precio,Movil
27,baja,Mediana,Chile,10012179,5,Publicidad,servicios,Tableta
,baja,Mediana,Chile,10012188,3,Publicidad,precio,PC
24,alta,Mediana,Chile,10012190,6,Administracion,velocidad,Tableta
21,alta,Mediana,Chile,10012193,6,Sistemas,caracteristicas,Movil
27,baja,Mediana,Chile,10012194,2,Administracion,caracteristicas,Tableta
34,baja,Mediana,Chile,10012197,4,Sistemas,precio,PC
5,baja,Mediana,Chile,10012199,4,Administracion,caracteristicas,Tableta
2,alta,Mediana,Chile,10012207,6,Administracion,caracteristicas,Movil
21,baja,Mediana,Chile,10012209,2,Administracion,servicios,Tableta
12,alta,Mediana,Chile,10012212,8,Administracion,confiabilidad,PC
9,alta,Mediana,Chile,10012223,10,Administracion,confiabilidad,Tableta
